MUN;CONF
CURITIBA;77
ABATIA;
ADRIANOPOLIS;
AGUDOS DO SUL;
ALMIRANTE TAMANDARE;2
ALTONIA;
ALTO PARANA;
ALVORADA DO SUL;
AMPERE;
ANDIRA;
ANTONIO OLINTO;
APUCARANA;
ARAPONGAS;
ARAPOTI;
ARARUNA;
ARAUCARIA;
ARIRANHA DO IVAI;
ASSAI;
ASSIS CHATEAUBRIAND;
ASTORGA;
ATALAIA;
BALSA NOVA;
BANDEIRANTES;
BARRACAO;
BARRA DO JACARE;
BELA VISTA DO PARAISO;
BITURUNA;
BOCAIUVA DO SUL;
BOM JESUS DO SUL;
BOM SUCESSO DO SUL;
CAFELANDIA;
CAMBARA;
CAMBE;
CAMPINA GRANDE DO SUL;
CAMPO DO TENENTE;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
CAMPO LARGO;3
CAMPO MAGRO;
CAMPO MOURAO;2
;
CANDOI;
CANTAGALO;
CAPANEMA;
CARAMBEI;
;
;
CASCAVEL;8
CASTRO;1
CERRO AZUL;
CHOPINZINHO;
;
;
;
CIANORTE;7
CLEVELANDIA;
COLOMBO;
CONGONHINHAS;
CONSELHEIRO MAIRINCK;
;
;
CONTENDA;1
CORBELIA;
CORNELIO PROCOPIO;
CORONEL DOMINGOS SOARES;
CORONEL VIVIDA;
;
;
CRUZEIRO DO IGUACU;
CRUZ MACHADO;
;
CURIUVA;
DIAMANTE DO NORTE;
DIAMANTE DO SUL;
DOIS VIZINHOS;
DOURADINA;
DOUTOR CAMARGO;
ENEAS MARQUES;
ENTRE RIOS DO OESTE;
ESPERANCA NOVA;
;
;
;
;
;
;
FAXINAL;1
FAZENDA RIO GRANDE;
FERNANDES PINHEIRO;
FLOR DA SERRA DO SUL;
FLORESTA;
FLORESTOPOLIS;
FORMOSA DO OESTE;
FOZ DO IGUACU;10
FRANCISCO BELTRAO;
GENERAL CARNEIRO;
GOIOERE;
GUAIRA;2
GUAPIRAMA;
GUARANIACU;
GUARAPUAVA;1
GUARAQUECABA;
GUARATUBA;
HONORIO SERPA;
IBAITI;
IBEMA;
IBIPORA;
ICARAIMA;
IGUARACU;
IMBAU;
